id,name,risk_level,city,last_area,accounts_linked,total_amount,active
SUS-0001,Suspect-001,High,chennai,Anna Nagar Block D,2,38571.41,True
SUS-0002,Suspect-002,High,kolkata,Dum Dum,3,108022.28,True
SUS-0003,Suspect-003,High,kolkata,New Market Block C,4,328812.97,True
SUS-0004,Suspect-004,Medium,delhi,Lajpat Nagar,3,109785.48,True
SUS-0005,Suspect-005,Medium,bangalore,Indiranagar Block E,5,167318.64,False
SUS-0006,Suspect-006,Medium,kolkata,Dum Dum Block B,3,367168.16,True
SUS-0007,Suspect-007,Medium,bangalore,Jayanagar Block C,5,413526.85,True
SUS-0008,Suspect-008,High,bangalore,Banashankari,3,253921.94,True
SUS-0009,Suspect-009,Low,ahmedabad,Paldi Block E,4,446748.63,True
SUS-0010,Suspect-010,High,kolkata,Park Street Block E,6,352212.79,True
SUS-0011,Suspect-011,High,bangalore,Whitefield Block C,6,222660.1,True
SUS-0012,Suspect-012,High,delhi,Dwarka Block B,6,120662.14,True
SUS-0013,Suspect-013,Medium,kolkata,Howrah Block D,4,382254.39,True
SUS-0014,Suspect-014,Low,puducherry,MG Road Block D,3,436622.59,True
SUS-0015,Suspect-015,Medium,hyderabad,Banjara Hills Block D,4,201147.92,True
SUS-0016,Suspect-016,Low,puducherry,Mudaliarpet Block E,4,481057.95,True
SUS-0017,Suspect-017,Medium,chennai,Chromepet Block B,2,41755.36,True
SUS-0018,Suspect-018,High,ahmedabad,Science City Road Block E,2,188089.2,True
SUS-0019,Suspect-019,High,mumbai,Mulund Block D,4,170839.78,False
SUS-0020,Suspect-020,Medium,mumbai,Dadar,5,156007.14,True
SUS-0021,Suspect-021,High,kolkata,Behala,4,437802.14,False
SUS-0022,Suspect-022,High,ahmedabad,CG Road Block E,3,204834.25,False
SUS-0023,Suspect-023,Medium,delhi,Saket Block C,5,475752.62,True
SUS-0024,Suspect-024,Medium,delhi,Connaught Place Block B,3,310484.65,False
SUS-0025,Suspect-025,Medium,chennai,Chromepet,4,425228.87,True
SUS-0026,Suspect-026,Low,puducherry,Solarpuram Block B,2,195616.74,True
SUS-0027,Suspect-027,High,delhi,Karol Bagh Block B,5,90277.63,True
SUS-0028,Suspect-028,High,ahmedabad,Bopal Block B,6,372080.33,True
SUS-0029,Suspect-029,Medium,delhi,Vasant Kunj,5,180571.18,True
SUS-0030,Suspect-030,High,puducherry,White Town Block D,3,400969.01,True
SUS-0031,Suspect-031,Medium,delhi,Rohini,6,44887.14,True
SUS-0032,Suspect-032,Low,bangalore,MG Road,4,404149.1,True
SUS-0033,Suspect-033,Low,bangalore,Koramangala Block E,3,53666.83,True
SUS-0034,Suspect-034,Medium,bangalore,Hebbal Block D,6,43638.06,True
SUS-0035,Suspect-035,Medium,bangalore,Marathahalli Block D,3,211153.58,True
SUS-0036,Suspect-036,Low,hyderabad,Jubilee Hills Block E,3,411005.22,True
SUS-0037,Suspect-037,High,hyderabad,LB Nagar Block D,5,152565.61,True
SUS-0038,Suspect-038,Medium,ahmedabad,Science City Road Block D,4,384991.01,True
SUS-0039,Suspect-039,Low,kolkata,New Market Block C,5,93909.04,True
SUS-0040,Suspect-040,High,chennai,Kodambakkam Block E,2,433487.2,True
SUS-0041,Suspect-041,Medium,hyderabad,Kukatpally Block C,4,421584.88,True
SUS-0042,Suspect-042,High,kolkata,Lake Gardens Block B,2,410525.09,True
SUS-0043,Suspect-043,High,puducherry,Kurumbapet Block B,5,109046.59,False
SUS-0044,Suspect-044,High,mumbai,Dadar Block B,3,46207.56,True
SUS-0045,Suspect-045,Low,chennai,Adyar,4,135688.52,False
SUS-0046,Suspect-046,High,mumbai,Kurla Block E,4,430593.42,True
SUS-0047,Suspect-047,Medium,mumbai,Vashi,6,352414.23,True
SUS-0048,Suspect-048,Medium,delhi,Lajpat Nagar,6,51725.4,True
SUS-0049,Suspect-049,High,mumbai,Dadar,3,84980.59,True
SUS-0050,Suspect-050,Medium,ahmedabad,Maninagar Block E,6,249815.25,True
SUS-0051,Suspect-051,Medium,bangalore,MG Road Block E,2,463329.51,True
SUS-0052,Suspect-052,Medium,hyderabad,Dilshuknagar Block B,6,53847.81,True
SUS-0053,Suspect-053,Medium,mumbai,Vashi Block C,4,273633.77,True
SUS-0054,Suspect-054,Medium,hyderabad,Madhapur,5,499462.99,True
SUS-0055,Suspect-055,Medium,mumbai,Thane Block D,6,388875.03,True
SUS-0056,Suspect-056,Medium,ahmedabad,Bopal Block D,2,327489.22,True
SUS-0057,Suspect-057,Medium,ahmedabad,Maninagar Block D,6,477942.31,True
SUS-0058,Suspect-058,High,delhi,Pitampura Block B,4,151645.87,True
SUS-0059,Suspect-059,Low,hyderabad,Manikonda Block D,4,172174.24,True
SUS-0060,Suspect-060,Low,puducherry,Lawspet Block B,6,293510.49,True
SUS-0061,Suspect-061,High,bangalore,MG Road Block B,5,431223.35,True
SUS-0062,Suspect-062,Medium,chennai,Porur Block B,6,40994.02,False
SUS-0063,Suspect-063,Low,ahmedabad,Bopal Block C,3,174146.74,False
SUS-0064,Suspect-064,Medium,mumbai,Borivali Block E,2,86454.46,True
SUS-0065,Suspect-065,Medium,bangalore,HSR Layout Block E,6,497184.18,True
SUS-0066,Suspect-066,Low,chennai,Adyar,6,212887.84,True
SUS-0067,Suspect-067,High,puducherry,Thattanchavady Block E,6,398309.7,False
SUS-0068,Suspect-068,Medium,chennai,T Nagar Block B,2,138432.43,True
SUS-0069,Suspect-069,Low,puducherry,Muthialpet Block B,4,235808.64,True
SUS-0070,Suspect-070,High,mumbai,Mulund Block E,2,155448.03,True
SUS-0071,Suspect-071,High,chennai,Kodambakkam Block C,6,433635.97,False
SUS-0072,Suspect-072,Low,mumbai,Powai Block B,3,231725.68,False
SUS-0073,Suspect-073,Medium,bangalore,MG Road Block D,4,281962.92,True
SUS-0074,Suspect-074,Medium,kolkata,Howrah Block B,3,258184.42,True
SUS-0075,Suspect-075,Low,delhi,Dwarka Block D,3,154812.9,True
SUS-0076,Suspect-076,Medium,chennai,Adyar Block D,3,152444.88,False
SUS-0077,Suspect-077,Medium,puducherry,Lawspet Block C,6,309516.94,True
SUS-0078,Suspect-078,Low,delhi,Pitampura,6,268452.88,True
SUS-0079,Suspect-079,Low,ahmedabad,Maninagar,4,267403.09,True
SUS-0080,Suspect-080,Medium,ahmedabad,Ashram Road Block E,4,294669.64,True
SUS-0081,Suspect-081,Medium,puducherry,Reddiarpalayam Block B,4,172393.81,True
SUS-0082,Suspect-082,Medium,delhi,Pitampura,5,107514.81,False
SUS-0083,Suspect-083,Low,ahmedabad,Ashram Road Block D,4,314264.4,True
SUS-0084,Suspect-084,Medium,bangalore,Marathahalli,3,73618.4,True
SUS-0085,Suspect-085,Medium,bangalore,Electronic City Block E,5,77392.37,True
SUS-0086,Suspect-086,High,chennai,T Nagar Block E,5,193063.83,True
SUS-0087,Suspect-087,Medium,bangalore,Jayanagar Block D,2,356154.35,True
SUS-0088,Suspect-088,Medium,chennai,Velachery Block E,2,330846.56,True
SUS-0089,Suspect-089,Medium,chennai,Tambaram Block D,5,113086.37,False
SUS-0090,Suspect-090,Medium,delhi,Dwarka Block B,4,447107.06,True
