atm_id,city,city_name,name,lat,lng,type,base_risk,crime_density,daily_volume
PUD-001,puducherry,Puducherry,White Town,11.8909,79.8604,retail,0.416,1,9316
PUD-002,puducherry,Puducherry,MG Road,11.9415,79.8078,bank,0.227,4,10628
PUD-003,puducherry,Puducherry,Lawspet,11.9437,79.813,commercial,0.698,1,12188
PUD-004,puducherry,Puducherry,Muthialpet,11.9472,79.8151,commercial,0.723,3,7238
PUD-005,puducherry,Puducherry,Reddiarpalayam,11.9472,79.8259,retail,0.374,4,6002
PUD-006,puducherry,Puducherry,Kurumbapet,11.9653,79.8254,retail,0.399,6,4774
PUD-007,puducherry,Puducherry,Thattanchavady,12.0006,79.8215,commercial,0.705,4,32505
PUD-008,puducherry,Puducherry,Nehru Park,11.9702,79.8757,highway,0.537,7,8828
PUD-009,puducherry,Puducherry,Solarpuram,11.9463,79.8113,high_value,0.771,6,11930
PUD-010,puducherry,Puducherry,Mudaliarpet,11.9364,79.8149,retail,0.416,3,6683
PUD-011,puducherry,Puducherry,White Town Block B,12.0057,79.8415,highway,0.544,6,12672
PUD-012,puducherry,Puducherry,MG Road Block B,11.9516,79.8134,high_value,0.867,10,13197
PUD-013,puducherry,Puducherry,Lawspet Block B,11.9408,79.8098,commercial,0.605,9,12300
PUD-014,puducherry,Puducherry,Muthialpet Block B,11.9384,79.8089,retail,0.418,4,17483
PUD-015,puducherry,Puducherry,Reddiarpalayam Block B,11.9438,79.7909,retail,0.397,3,3986
PUD-016,puducherry,Puducherry,Kurumbapet Block B,11.8818,79.805,commercial,0.724,8,6253
PUD-017,puducherry,Puducherry,Thattanchavady Block B,11.9419,79.8103,commercial,0.708,7,9214
PUD-018,puducherry,Puducherry,Nehru Park Block B,11.9634,79.8612,retail,0.365,4,6878
PUD-019,puducherry,Puducherry,Solarpuram Block B,11.9435,79.8225,highway,0.517,1,6649
PUD-020,puducherry,Puducherry,Mudaliarpet Block B,11.904,79.8709,commercial,0.744,6,8842
PUD-021,puducherry,Puducherry,White Town Block C,11.8945,79.8638,bank,0.166,2,4739
PUD-022,puducherry,Puducherry,MG Road Block C,11.9646,79.8139,retail,0.39,2,9421
PUD-023,puducherry,Puducherry,Lawspet Block C,11.952,79.8219,bank,0.193,4,5499
PUD-024,puducherry,Puducherry,Muthialpet Block C,11.94,79.7966,retail,0.429,5,24227
PUD-025,puducherry,Puducherry,Reddiarpalayam Block C,11.9799,79.8332,commercial,0.694,10,8140
PUD-026,puducherry,Puducherry,Kurumbapet Block C,11.9454,79.8346,commercial,0.604,6,17587
PUD-027,puducherry,Puducherry,Thattanchavady Block C,11.945,79.8068,commercial,0.678,6,13655
PUD-028,puducherry,Puducherry,Nehru Park Block C,11.9238,79.8017,commercial,0.663,7,11979
PUD-029,puducherry,Puducherry,Solarpuram Block C,11.9359,79.8177,retail,0.461,5,9073
PUD-030,puducherry,Puducherry,Mudaliarpet Block C,11.9443,79.8085,retail,0.493,5,10269
PUD-031,puducherry,Puducherry,White Town Block D,11.9379,79.803,retail,0.343,2,11908
PUD-032,puducherry,Puducherry,MG Road Block D,11.9573,79.7859,retail,0.388,6,5558
PUD-033,puducherry,Puducherry,Lawspet Block D,11.9409,79.8155,bank,0.238,4,14834
PUD-034,puducherry,Puducherry,Muthialpet Block D,11.92,79.8079,retail,0.431,5,5278
PUD-035,puducherry,Puducherry,Reddiarpalayam Block D,11.9415,79.8089,retail,0.437,3,6462
PUD-036,puducherry,Puducherry,Kurumbapet Block D,11.9056,79.8407,commercial,0.661,8,4346
PUD-037,puducherry,Puducherry,Thattanchavady Block D,11.9692,79.7963,retail,0.36,4,13748
PUD-038,puducherry,Puducherry,Nehru Park Block D,11.9399,79.7777,retail,0.331,4,5069
PUD-039,puducherry,Puducherry,Solarpuram Block D,11.9568,79.7685,bank,0.294,2,16625
PUD-040,puducherry,Puducherry,Mudaliarpet Block D,11.9237,79.7831,highway,0.484,5,11842
PUD-041,puducherry,Puducherry,White Town Block E,11.9398,79.8101,retail,0.373,4,3313
PUD-042,puducherry,Puducherry,MG Road Block E,11.9409,79.8079,high_value,0.826,9,13967
PUD-043,puducherry,Puducherry,Lawspet Block E,11.9546,79.8219,highway,0.436,6,26756
PUD-044,puducherry,Puducherry,Muthialpet Block E,11.9204,79.783,bank,0.149,6,8894
PUD-045,puducherry,Puducherry,Reddiarpalayam Block E,11.9438,79.8005,retail,0.483,2,6855
PUD-046,puducherry,Puducherry,Kurumbapet Block E,11.9416,79.8288,retail,0.337,3,12822
PUD-047,puducherry,Puducherry,Thattanchavady Block E,11.9739,79.7987,retail,0.492,1,5623
PUD-048,puducherry,Puducherry,Nehru Park Block E,11.9416,79.8079,high_value,0.872,6,11936
PUD-049,puducherry,Puducherry,Solarpuram Block E,11.939,79.8087,retail,0.395,1,2988
PUD-050,puducherry,Puducherry,Mudaliarpet Block E,11.9227,79.7911,high_value,0.922,6,3952
CHE-001,chennai,Chennai,T Nagar,12.9912,80.2688,retail,0.403,5,11199
CHE-002,chennai,Chennai,Anna Nagar,13.0621,80.2598,retail,0.507,6,3053
CHE-003,chennai,Chennai,Velachery,13.1042,80.2622,bank,0.26,2,12613
CHE-004,chennai,Chennai,Adyar,13.1613,80.2826,commercial,0.668,8,5730
CHE-005,chennai,Chennai,Mylapore,13.0144,80.1971,retail,0.444,4,10677
CHE-006,chennai,Chennai,Porur,13.1298,80.1411,retail,0.464,4,6028
CHE-007,chennai,Chennai,Tambaram,13.0147,80.3795,bank,0.228,6,6608
CHE-008,chennai,Chennai,Chromepet,13.1099,80.2511,highway,0.534,8,6938
CHE-009,chennai,Chennai,Nungambakkam,13.0823,80.271,bank,0.219,3,21081
CHE-010,chennai,Chennai,Kodambakkam,13.0672,80.276,commercial,0.708,11,12038
CHE-011,chennai,Chennai,T Nagar Block B,13.1017,80.1978,high_value,0.85,11,2849
CHE-012,chennai,Chennai,Anna Nagar Block B,13.0982,80.2571,high_value,0.871,16,6112
CHE-013,chennai,Chennai,Velachery Block B,13.079,80.2672,high_value,0.86,11,10716
CHE-014,chennai,Chennai,Adyar Block B,13.0863,80.2728,bank,0.178,5,4008
CHE-015,chennai,Chennai,Mylapore Block B,13.1345,80.143,bank,0.318,2,2926
CHE-016,chennai,Chennai,Porur Block B,13.0873,80.2675,retail,0.399,9,7014
CHE-017,chennai,Chennai,Tambaram Block B,13.0883,80.2728,high_value,0.889,15,10366
CHE-018,chennai,Chennai,Chromepet Block B,13.0715,80.2822,bank,0.261,3,8154
CHE-019,chennai,Chennai,Nungambakkam Block B,13.1167,80.2882,bank,0.27,8,6529
CHE-020,chennai,Chennai,Kodambakkam Block B,13.0539,80.2402,bank,0.359,7,5409
CHE-021,chennai,Chennai,T Nagar Block C,13.081,80.2806,retail,0.309,8,3113
CHE-022,chennai,Chennai,Anna Nagar Block C,13.1039,80.2192,commercial,0.584,10,20246
CHE-023,chennai,Chennai,Velachery Block C,13.1692,80.2308,high_value,0.836,12,9393
CHE-024,chennai,Chennai,Adyar Block C,12.984,80.3648,highway,0.494,5,15046
CHE-025,chennai,Chennai,Mylapore Block C,13.0697,80.2786,high_value,0.865,13,17294
CHE-026,chennai,Chennai,Porur Block C,13.1667,80.2395,commercial,0.597,10,7546
CHE-027,chennai,Chennai,Tambaram Block C,13.1248,80.2579,commercial,0.727,11,5356
CHE-028,chennai,Chennai,Chromepet Block C,13.0663,80.2394,highway,0.559,6,8381
CHE-029,chennai,Chennai,Nungambakkam Block C,13.0459,80.2579,bank,0.237,1,17060
CHE-030,chennai,Chennai,Kodambakkam Block C,13.0843,80.2776,high_value,0.903,14,3363
CHE-031,chennai,Chennai,T Nagar Block D,13.0616,80.2882,bank,0.141,4,6352
CHE-032,chennai,Chennai,Anna Nagar Block D,13.0154,80.2041,bank,0.165,6,7881
CHE-033,chennai,Chennai,Velachery Block D,12.9524,80.3058,retail,0.328,8,7620
CHE-034,chennai,Chennai,Adyar Block D,13.0872,80.2755,commercial,0.668,9,5064
CHE-035,chennai,Chennai,Mylapore Block D,13.091,80.2894,bank,0.234,7,6481
CHE-036,chennai,Chennai,Porur Block D,13.0911,80.273,commercial,0.645,8,4828
CHE-037,chennai,Chennai,Tambaram Block D,13.0885,80.2918,retail,0.402,5,10480
CHE-038,chennai,Chennai,Chromepet Block D,13.1676,80.3199,bank,0.244,6,7255
CHE-039,chennai,Chennai,Nungambakkam Block D,13.1052,80.208,commercial,0.589,8,26557
CHE-040,chennai,Chennai,Kodambakkam Block D,13.0628,80.2928,retail,0.429,5,9467
CHE-041,chennai,Chennai,T Nagar Block E,13.047,80.268,high_value,0.727,15,5403
CHE-042,chennai,Chennai,Anna Nagar Block E,13.082,80.2714,commercial,0.618,7,4718
CHE-043,chennai,Chennai,Velachery Block E,13.1589,80.3439,retail,0.433,8,5234
CHE-044,chennai,Chennai,Adyar Block E,13.0421,80.2608,retail,0.348,5,7367
CHE-045,chennai,Chennai,Mylapore Block E,13.0782,80.2921,retail,0.447,2,8216
CHE-046,chennai,Chennai,Porur Block E,13.0831,80.2759,commercial,0.617,10,6351
CHE-047,chennai,Chennai,Tambaram Block E,13.0888,80.2857,commercial,0.684,4,9849
CHE-048,chennai,Chennai,Chromepet Block E,13.1359,80.2092,commercial,0.675,9,4970
CHE-049,chennai,Chennai,Nungambakkam Block E,13.1174,80.2538,retail,0.362,7,6110
CHE-050,chennai,Chennai,Kodambakkam Block E,13.0529,80.2862,commercial,0.663,7,5155
DEL-001,delhi,Delhi,Connaught Place,28.6909,77.1631,commercial,0.569,18,7523
DEL-002,delhi,Delhi,Karol Bagh,28.7068,77.106,bank,0.3,4,6072
DEL-003,delhi,Delhi,Lajpat Nagar,28.702,77.1845,highway,0.622,8,3343
DEL-004,delhi,Delhi,Rohini,28.805,77.048,bank,0.269,2,5990
DEL-005,delhi,Delhi,Dwarka,28.7157,77.0971,high_value,0.929,17,7631
DEL-006,delhi,Delhi,Saket,28.7081,77.087,commercial,0.67,12,6564
DEL-007,delhi,Delhi,Janakpuri,28.6805,77.0568,commercial,0.697,12,7150
DEL-008,delhi,Delhi,Pitampura,28.6761,77.1336,commercial,0.651,15,18736
DEL-009,delhi,Delhi,Vasant Kunj,28.7202,77.2662,commercial,0.655,14,5206
DEL-010,delhi,Delhi,Malviya Nagar,28.7618,77.0764,commercial,0.667,13,6583
DEL-011,delhi,Delhi,Connaught Place Block B,28.6692,77.0651,bank,0.27,3,4695
DEL-012,delhi,Delhi,Karol Bagh Block B,28.704,77.1001,retail,0.424,6,9574
DEL-013,delhi,Delhi,Lajpat Nagar Block B,28.6449,77.2058,high_value,0.828,19,6543
DEL-014,delhi,Delhi,Rohini Block B,28.6902,77.0126,retail,0.421,6,20710
DEL-015,delhi,Delhi,Dwarka Block B,28.7038,77.1329,commercial,0.692,13,5190
DEL-016,delhi,Delhi,Saket Block B,28.714,77.0986,retail,0.522,3,8643
DEL-017,delhi,Delhi,Janakpuri Block B,28.8326,77.1192,bank,0.28,8,9031
DEL-018,delhi,Delhi,Pitampura Block B,28.7351,77.1529,retail,0.48,8,6275
DEL-019,delhi,Delhi,Vasant Kunj Block B,28.8538,77.0279,retail,0.426,12,6038
DEL-020,delhi,Delhi,Malviya Nagar Block B,28.652,77.2026,high_value,0.799,16,3542
DEL-021,delhi,Delhi,Connaught Place Block C,28.5498,77.0604,commercial,0.609,15,3822
DEL-022,delhi,Delhi,Karol Bagh Block C,28.695,77.1057,commercial,0.515,12,7886
DEL-023,delhi,Delhi,Lajpat Nagar Block C,28.7284,77.086,retail,0.426,5,5434
DEL-024,delhi,Delhi,Rohini Block C,28.748,77.1015,retail,0.401,7,8005
DEL-025,delhi,Delhi,Dwarka Block C,28.7399,77.261,commercial,0.595,17,16224
DEL-026,delhi,Delhi,Saket Block C,28.6741,77.1159,retail,0.383,2,6729
DEL-027,delhi,Delhi,Janakpuri Block C,28.8202,76.9461,commercial,0.584,14,6761
DEL-028,delhi,Delhi,Pitampura Block C,28.7481,77.1775,retail,0.436,7,4607
DEL-029,delhi,Delhi,Vasant Kunj Block C,28.711,77.1035,highway,0.447,10,6799
DEL-030,delhi,Delhi,Malviya Nagar Block C,28.7076,77.1943,bank,0.232,4,14467
DEL-031,delhi,Delhi,Connaught Place Block D,28.697,77.0882,commercial,0.738,9,4355
DEL-032,delhi,Delhi,Karol Bagh Block D,28.6633,77.1464,commercial,0.586,11,19484
DEL-033,delhi,Delhi,Lajpat Nagar Block D,28.67,77.0893,commercial,0.648,14,6850
DEL-034,delhi,Delhi,Rohini Block D,28.7236,77.1057,retail,0.333,10,11750
DEL-035,delhi,Delhi,Dwarka Block D,28.7767,77.2017,bank,0.255,2,3587
DEL-036,delhi,Delhi,Saket Block D,28.6416,77.0773,highway,0.513,10,13244
DEL-037,delhi,Delhi,Janakpuri Block D,28.6486,77.0562,commercial,0.69,12,9816
DEL-038,delhi,Delhi,Pitampura Block D,28.715,77.1063,retail,0.409,3,5554
DEL-039,delhi,Delhi,Vasant Kunj Block D,28.705,77.1378,commercial,0.606,15,10796
DEL-040,delhi,Delhi,Malviya Nagar Block D,28.6364,77.1142,bank,0.207,1,11500
DEL-041,delhi,Delhi,Connaught Place Block E,28.7229,77.1067,retail,0.367,7,3481
DEL-042,delhi,Delhi,Karol Bagh Block E,28.705,77.0945,high_value,0.848,18,19641
DEL-043,delhi,Delhi,Lajpat Nagar Block E,28.6906,77.0646,commercial,0.677,13,4703
DEL-044,delhi,Delhi,Rohini Block E,28.6803,77.0853,high_value,0.846,18,11051
DEL-045,delhi,Delhi,Dwarka Block E,28.7236,77.1539,bank,0.281,6,15415
DEL-046,delhi,Delhi,Saket Block E,28.7146,77.0858,retail,0.421,9,8989
DEL-047,delhi,Delhi,Janakpuri Block E,28.7264,77.157,bank,0.239,5,14250
DEL-048,delhi,Delhi,Pitampura Block E,28.7176,77.0797,highway,0.505,9,6430
DEL-049,delhi,Delhi,Vasant Kunj Block E,28.7051,77.1116,high_value,0.914,14,7111
DEL-050,delhi,Delhi,Malviya Nagar Block E,28.6847,77.1535,highway,0.552,10,3855
MUM-001,mumbai,Mumbai,Bandra,19.1168,72.8401,commercial,0.652,13,14936
MUM-002,mumbai,Mumbai,Andheri,19.0458,72.9003,retail,0.378,5,16759
MUM-003,mumbai,Mumbai,Lower Parel,19.0093,72.9157,commercial,0.61,11,4899
MUM-004,mumbai,Mumbai,Powai,19.0763,72.8803,high_value,0.848,13,9109
MUM-005,mumbai,Mumbai,Thane,19.0279,72.923,commercial,0.609,11,25715
MUM-006,mumbai,Mumbai,Vashi,19.1565,73.0261,commercial,0.658,10,10365
MUM-007,mumbai,Mumbai,Kurla,19.0443,72.8507,commercial,0.62,10,10696
MUM-008,mumbai,Mumbai,Dadar,19.074,72.8806,bank,0.321,3,6091
MUM-009,mumbai,Mumbai,Borivali,19.0729,72.8683,highway,0.465,7,26335
MUM-010,mumbai,Mumbai,Mulund,19.0712,72.8749,bank,0.219,6,6675
MUM-011,mumbai,Mumbai,Bandra Block B,19.1998,72.7676,bank,0.304,5,5296
MUM-012,mumbai,Mumbai,Andheri Block B,19.0539,72.8929,commercial,0.648,11,19876
MUM-013,mumbai,Mumbai,Lower Parel Block B,19.0883,72.885,retail,0.356,1,14806
MUM-014,mumbai,Mumbai,Powai Block B,19.039,72.9331,retail,0.429,7,6770
MUM-015,mumbai,Mumbai,Thane Block B,19.0938,72.8162,bank,0.286,5,10417
MUM-016,mumbai,Mumbai,Vashi Block B,19.0528,72.8254,highway,0.492,10,8719
MUM-017,mumbai,Mumbai,Kurla Block B,19.0368,72.9478,commercial,0.67,12,7238
MUM-018,mumbai,Mumbai,Dadar Block B,19.0635,72.9336,bank,0.182,4,11767
MUM-019,mumbai,Mumbai,Borivali Block B,19.0467,72.843,highway,0.48,9,10604
MUM-020,mumbai,Mumbai,Mulund Block B,19.0451,72.9279,bank,0.228,4,8928
MUM-021,mumbai,Mumbai,Bandra Block C,19.0541,72.9477,high_value,0.898,11,6373
MUM-022,mumbai,Mumbai,Andheri Block C,19.1878,72.7541,bank,0.222,4,9785
MUM-023,mumbai,Mumbai,Lower Parel Block C,19.0761,72.8762,high_value,0.748,15,11685
MUM-024,mumbai,Mumbai,Powai Block C,19.0589,72.8841,bank,0.178,6,2698
